context,question,category,answer
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",What happened after the accident?,Event Ordering, the accident was investigated
"There has been an accident on Circle Drive, neat Circle Mall. There are no fatalities.",Is the accident still happening tomorrow?,Stationarity, no
Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,How often do they run errands?,Frequency, once a week
Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,How long will the game last?,Event Duration, 2 hours
Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,When did the game begin?,Typical Time, 1:00 PM
Rob and Bob are watching the game. Bob will run some errands on the weekend. Jim's birthday is next Wednesday. He might organize a meetup this weekend. Bob will see Rob on the weekend.,Is Bob still running errands after the game?,Stationarity, no
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",How often are the people at the event?,Frequency, once a year
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",How long will the event last?,Event Duration, 2 hours
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",When did the event begin?,Typical Time, 1:00 PM
"Julie and Debra are discussing the event, there will be about 20 people, mostly girls from the village 40+.",What will they do after the event?,Event Ordering, go home
Mike's had an accident on his motorcycle and he's broken his leg.,How many times a week does Mike have accidents?,Frequency, once
Mike's had an accident on his motorcycle and he's broken his leg.,How long did Mike's motorcycle accident?,Event Duration, 10 minutes
Mike's had an accident on his motorcycle and he's broken his leg.,When did Mike's motorcycle accident?,Typical Time, 12:00 PM
Mike's had an accident on his motorcycle and he's broken his leg.,What happened after Mike's bike was broken?,Event Ordering, he got a new bike
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.,How many times a week does David look after Ethan's sister?,Frequency, once
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.,How long did it take to look after Ethan's sister?,Event Duration, 1 hour
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.,When did Ethan look after Ethan's sister?,Typical Time, 12:00 PM
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.,What did Ethan do after he looked after Ethan's sister?,Event Ordering, he went home
David was looking after Ethan's sister. Ethan is grateful. David won't do it again.,Is David still looking after Ethan's sister?,Stationarity, no
"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop.",How many times a week does he go to the coffee shop?,Frequency, 3 times
"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop.",How long will he wait in the coffee shop?,Event Duration, 1 hour
"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop.",When did he go to the coffee shop?,Typical Time, 1:00 PM
"Conrad can't enter the house because he forgot his keys. Since Rebecca and Tiffany are coming back late, he'll wait in the coffee shop.",Is Conrad still in the coffee shop tomorrow?,Stationarity, no
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,How often does Kasia and Ron go to Kasia's place?,Frequency, every week
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,How long did it take to smell the smell of Kasia to be there?,Event Duration, 10 minutes
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,When did they go to Kasia's place?,Typical Time, 10:00 PM
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,What did they do after the smell was there?,Event Ordering, they went to kasia's house
Clara and Ron are wondering what that weird smell at Kasia's place last night was.,Is Kasia still wondering what happened after the smell was there?,Stationarity, no
"Holly is not feeling very well, so she's not coming to Jake's tonight.",How long is she at Jake's?,Event Duration, 2 hours
"Holly is not feeling very well, so she's not coming to Jake's tonight.",When did she go to Jake's?,Typical Time, 7:00 PM
"Holly is not feeling very well, so she's not coming to Jake's tonight.",What happens after she's not feeling well?,Event Ordering, she goes to the doctor
"Holly is not feeling very well, so she's not coming to Jake's tonight.",Is she still feeling bad after she's gone?,Stationarity, no
Ludmila's favourite dinosaur when she was little was the Triceratops.,How many times a week does she go to the Triceratops museum?,Frequency, once
Ludmila's favourite dinosaur when she was little was the Triceratops.,How long was the Triceratops favourite dinosaur?,Event Duration, 10 years
Ludmila's favourite dinosaur when she was little was the Triceratops.,When did she get the Triceratops?,Typical Time, when she was a child
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",How often do they go to the pub?,Frequency, once a week
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",How long will the girls be scared to go to the pub?,Event Duration, 1 week
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",When did they go to the pub?,Typical Time, 7:00 PM
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",What happens after they go to the pub?,Event Ordering, they have fun
"Josh, Sean and Logan are going to the pub tonight to pick up some girls. Logan doesn't want Sean to scare the girls away with his inappropriate comments.",Will they still be scared after the pub is gone?,Stationarity, no
"Someone left a phone at Liam's place, but it wasn't Indiana.",How often does someone leave a phone at the place of Liam's place?,Frequency, once
"Someone left a phone at Liam's place, but it wasn't Indiana.",How long did it take to get the phone?,Event Duration, 1 hour
"Someone left a phone at Liam's place, but it wasn't Indiana.",When did someone leave the phone at the place of Liam's place?,Typical Time, 12:00 PM
"Someone left a phone at Liam's place, but it wasn't Indiana.",What did they do after leaving the phone at the place of Liam?,Event Ordering, they went home
"Claire is ordering her wedding dress, adviced by Maria and Nicole.",How often does Claire order her wedding dress?,Frequency, once
"Claire is ordering her wedding dress, adviced by Maria and Nicole.",How long does it take to order the wedding dress?,Event Duration, 1 hour
"Claire is ordering her wedding dress, adviced by Maria and Nicole.",When did she order the wedding dress?,Typical Time, 12:00 PM
"Claire is ordering her wedding dress, adviced by Maria and Nicole.",What happens after she orders the wedding dress?,Event Ordering, she gets married
